CO_CNES;NO_RAZAO_SOCIAL;NO_FANTASIA;CO_ESTADO_GESTOR;CO_MUNICIPIO_GESTOR;NU_LATITUDE;NU_LONGITUDE
3331784;MUNICIPIO DE RIO BRANCO;USF MARIA VERONICA II;12;120040;-9.975;-67.81
3331806;PREFEITURA MUNICIPAL DE RIO BRANCO;USF RAIMUNDA DIONIZIO;12;120040;-9.996.444.774.083.110;-6.783.885.151.147.840
3331857;PREFEITURA MUNICIPAL DE RIO BRANCO;USF BAIXADA DA HABITASA;12;120040;-9.975;-67.81
3331881;PREFEITURA MUNICIPAL DE RIO BRANCO;USF FRANCISCO CAETANO DA SILVA;12;120040;-996.128;-6.778.976
7184301;W M ODONTOLOGIA LTDA;TOP ODONTO;12;120040;-9.966.987;-6.781.889
7184328;SUEMORI NASCIMENTO LTDA;SUEMORI NASCIMENTO LTDA;12;120040;-997.257;-6.779.943
2001608;PREFEITURA MUNICIPAL DE RIO BRANCO;USF VITORIA II;12;120040;-9.975;-67.81
2001683;SECRETARIA DE ESTADO DE SAUDE;ESCOLA SAMUEL BARREIRA;12;120040;-997.966;-6.784.134
5006872;CLINICAS MEDICAS REUNIDAS LTDA CLIMED EPP;CLIMED;12;120040;;
5019753;ODONTOCLIN S C LTDA;HALITUS CLIN;12;120040;;
2003058;MUNICIPIO DE RIO BRANCO;USF LUIZ GONZAGA I;12;120040;-9.980.748;-67.809.441
2306360;PREFEITURA MUNICIPAL DE SENADOR GUIOMARD;POSTO DE SAUDE ANTONIO DE CASTRO;12;120045;;
2000903;PREFEITURA MUNICIPAL DE SENA MADUREIRA;UNIDADE BASICA DE SAUDE FLORLIRIO PEREIRA LUSTOSA;12;120050;-9.068.489.425.012.910;-6.867.119.401.333.730
2000938;PREFEITURA MUNICIPAL DE SENA MADUREIRA;UNIDADE BASICA DE SAUDE RICIOTI TAMBURINI;12;120050;-9.064.995.543.845.470;-6.865.238.428.115.840
2000148;PREFEITURA MUNICIPAL DE TARAUACA;VIGILANCIA SANITARIA DE TARAUACA;12;120060;-8.161.090;-70.766.090
2000164;PREFEITURA MUNICIPAL DE TARAUACA;UNIDADE DE SAUDE DA FAMILIA MARIA DA LUZ;12;120060;-8.161.034;-70.766.034
2001152;PREFEITURA MUNICIPAL DE TARAUACA;POSTO DE SAUDE TABOCA;12;120060;;
3122883;SUSY PASCOAL NOGUEIRA;CEMAP CENTRO DE MAMOGRAFIA E ULTRASSONOGRAFIA AMOTY PASCOAL;12;120040;-996.660;-6.781.140
3128954;ODONTOCLIN;ODONTOCLIN;12;120040;;
7473737;ANA PAULA BRESSAN EIRELI ME;PHYSICAL;12;120020;-7.632.627.908.989.980;-7.267.022.609.710.690
7484100;MAGALHAES SOCIEDADE SIMPLES UNIPESSOAL LTDA;MAGALHAES;12;120040;-9.966.142;-67.817.406
7484119;A 2 S MEDICINA E SEGURANCA DO TRABALHO LTDA;BRUMED ACRE;12;120040;-997.554;-6.781.123
9014896;MUNICIPIO DE MARECHAL THAUMATURGO;USF RAIMUNDO GOMES DE AZEVEDO;12;120035;-8.942.717;-72.790.708
7493479;PREFEITURA MUNICIPAL DE RODRIGUES ALVES;ACADEMIA DA SAUDE BAIRRO SAO FRANCISCO;12;120042;-7.742;-72.647
0379042;UNIDADE MOVEL FLUVIAL;UNIDADE MOVEL FLUVIAL;12;120035;-8.942.180.497.495.630;-7.278.369.426.727.290
0423335;MUNICIPIO DE XAPURI;UNIDADE DE SAUDE DA FAMILIA SERINGAL ASSENTAMENTO TUPA;12;120070;-10.608.628;-68.488.585
0198374;RITMO MED SOCIEDADE SIMPLES PURA;RITMO MED;12;120040;-995.862;-6.785.750
2905043;RADSON A ARAUJO CLINICA SAUDE E VIDA EIRELI;INSTITUTO FEMINA MATER;12;120040;-996.089;-6.781.498
3723704;CELY MELO DA COSTA BUSSONS;CELY MELO DA COSTA BUSSONS;12;120040;-996.519;-6.781.733
9438386;ORTHOSMILE EIRELI;ORTHOSMILE;12;120040;-996.022;-6.785.309
9203389;DR SAUDE OFTALMOLOGIA E ESPECIALIDADES LTDA;DR SAUDE ACRE;12;120040;-997.299;-6.780.629
9012052;SECRETARIA DE ESTADO DE SAUDE;CENTRAL DE REGULACAO DO VALE DO JURUA;12;120020;-76.319.596;-726.758.746
9961097;ALTAMIRA DE SOUZA FERNANDES;ALTAMIRA DE SOUZA FERNANDES;12;120040;-996.707;-6.781.663
9979263;J R SILVA;MEDIOLINS;12;120040;-99.730.351;-678.326.865
0109576;V M F DINIZ EIRELI;CENTRO DE DIAGNOSTICO DA FAMILIA;12;120040;-995.974;-6.781.207
0975303;AMORIM E MESQUITA FISIOTERAPIA LTDA;MY FISIOTERAPIA;12;120040;-99.601.024;-678.149.091
2851776;MUNICIPIO DE PORTO ACRE;POLO ACADEMIA LUZIA FERNANDES LEITE;12;120080;-972.766.884.153.497;-676.983.118.057.251
2000962;PREFEITURA MUNICIPAL DE MANUEL URBANO;UNIDADE DE SAUDE JOSEFA NUNES;12;120034;-88.328.919;-692.623.832
0503312;INSTITUTO DE GENETICA DO NORTE LTDA;IGENN;12;120040;-996.081;-6.781.588
9246010;HOSPITAL DO RIM ACRE LTDA;HOSPITAL DO RIM ACRE;12;120040;-9.975.123;-67.810.456
7936028;CENTRO DE DIAGNOSTICOS CITOLAB EIRELI ME;POSTO DE COLETA CITOLAB;12;120033;-7.611.019.524.023.610;-7.290.430.784.225.460
9043403;PREFEITURA MUNICIPAL DE SENA MADUREIRA;ACADEMIA DA SAUDE AGUINALDO NUNES DE OLIVEIRA;12;120050;-907.345.896.695.766;-686.548.141.524.399
0469548;PREFEITURA MUNICIAPAL DE BRASILEIA;NUCLEO MUNICIPAL DO PROGRAMA NACIONAL DE IMUNICAZACAO PNI;12;120010;-11.016.351.528.414.000;-6.874.990.940.093.990
0448028;PSICOLOGOS E NUTRICIONISTAS ASSOCIADOS LTDA;MPN;12;120040;-9.975;-67.81
9002332;MILLENNIUM REN MEDICALS LTDA;MILLENNIUM REN MEDICALS LTDA;12;120040;-995.802;-6.782.054
7740360;LGMR SERVICOS MEDICOS LTDA;LGMR;12;120040;-9.969.613;-67.813.768
7743637;MINISTERIO PUBLICO DO ESTADO DO ACRE;MINISTERIO PUBLICO DO ESTADO DO ACRE;12;120040;-997.481;-6.780.717
0062553;MUNICIPIO DE RIO BRANCO;CENTRAL MUNICIPAL DE REDE DE FRIO;12;120040;-996.875;-6.782.525
9126082;JORGENILCE ALVES PEREIRA EIRELI;INSTITUTO DE PSICOLOGIA JORGENILCE ALVES;12;120040;-996.060;-6.780.755
9216103;MUNICIPIO DE PORTO WALTER;UNIDADE MOVEL ODONTOLOGICA DE PORTO WALTER;12;120039;-826.715.037.123.948;-7.274.500.608.444.210
5503973;GASTROCLINICA LTDA;GASTROCLINICA;12;120040;-995.865;-6.781.317
2003155;PREFEITURA MUNICIPAL DE RIO BRANCO;USF MAXIMO DIOGO II;12;120040;-9.975;-67.81
2003252;PREFEITURA MUNICIPAL DE RIO BRANCO;USF RECANTO DOS BURITIS;12;120040;-1.000.018;-6.779.482
9259732;PREFEITURA MUNICIPAL DE RODRIGUES ALVES;LABORATORIO DE ANALISES CLINICAS MANOEL BRAZ DE SOUZA;12;120042;-77.321.482;-726.483.069
9465839;CLINICA J R EIRELI;MEDIOCLIN MEDICINA OCUPACIONAL CLINICA;12;120040;-997.274;-6.783.280
4017498;EMPREENDIMENTOS PAGUE MENOS S A;FARMACIA PAGUE MENOS;12;120040;-999.176;-6.782.146
7993420;AUGUSTO VAZ ESTETICA E BELEZA LTDA ME;AUGUSTO VAZ PERFIL PLASTIC;12;120040;-9.963.537;-67.815.506
9938974;C ARAUJO DA COSTA LTDA;CONSULTORIO SINGULAR PSICOLOGIA;12;120040;-99.664.984;-67.806.892
9894845;CLINICA MEDICA DR ARNALDO BARBOSA LTDA;CLINICA MEDICA DR ARNALDO BARBOSA LTDA;12;120040;-996.090;-6.780.974
9970916;FABIO SILVEIRA DE LIMA;ESTILO FISIO;12;120040;-997.257;-6.783.293
